"age","marital-status","relationship","race","sex","native-country"
37,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Divorced","Not-in-family","Black","Female","United-States"
38,"Married-civ-spouse","Husband","White","Male","Iran"
43,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Married-civ-spouse","Wife","White","Female","United-States"
20,"Never-married","Own-child","White","Male","United-States"
49,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","United-States"
61,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Never-married","Own-child","White","Female","United-States"
19,"Never-married","Own-child","White","Male","Mexico"
45,"Never-married","Not-in-family","White","Female","United-States"
70,"Never-married","Other-relative","White","Male","United-States"
31,"Never-married","Unmarried","Black","Female","United-States"
22,"Married-civ-spouse","Husband","White","Male","United-States"
36,"Widowed","Unmarried","White","Female","United-States"
64,"Married-civ-spouse","Husband","White","Male","United-States"
47,"Divorced","Unmarried","White","Female","Mexico"
34,"Never-married","Not-in-family","White","Female","United-States"
33,"Never-married","Other-relative","Asian-Pac-Islander","Female","Philippines"
21,"Never-married","Own-child","White","Male","United-States"
48,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Never-married","Not-in-family","White","Male","United-States"
71,"Separated","Unmarried","Black","Male","United-States"
29,"Divorced","Not-in-family","White","Male","United-States"
42,"Separated","Other-relative","Black","Male","United-States"
25,"Never-married","Unmarried","White","Female","United-States"
44,"Divorced","Unmarried","Asian-Pac-Islander","Female","United-States"
28,"Never-married","Not-in-family","Asian-Pac-Islander","Female","England"
45,"Married-civ-spouse","Husband","White","Male","United-States"
36,"Divorced","Unmarried","White","Female","Mexico"
39,"Never-married","Not-in-family","White","Male","United-States"
46,"Widowed","Unmarried","White","Male","United-States"
18,"Never-married","Own-child","White","Male","United-States"
66,"Widowed","Not-in-family","White","Female","United-States"
27,"Never-married","Not-in-family","White","Male","United-States"
28,"Married-civ-spouse","Husband","White","Male","United-States"
51,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Never-married","Not-in-family","White","Male","United-States"
28,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Married-spouse-absent","Unmarried","White","Female","United-States"
21,"Never-married","Own-child","Black","Male","United-States"
34,"Never-married","Not-in-family","Black","Male","United-States"
18,"Never-married","Own-child","White","Male","United-States"
33,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Married-civ-spouse","Husband","Black","Male","United-States"
43,"Divorced","Not-in-family","White","Female","United-States"
30,"Never-married","Not-in-family","Black","Male","United-States"
40,"Married-civ-spouse","Husband","White","Male","Mexico"
37,"Married-civ-spouse","Husband","White","Male","United-States"
34,"Married-civ-spouse","Husband","Black","Male","United-States"
41,"Divorced","Not-in-family","White","Female","United-States"
31,"Married-civ-spouse","Wife","White","Female","United-States"
58,"Married-civ-spouse","Husband","White","Male","United-States"
38,"Divorced","Not-in-family","Black","Female","United-States"
24,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Married-civ-spouse","Husband","Black","Male","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Married-civ-spouse","Other-relative","White","Male","Mexico"
36,"Divorced","Not-in-family","White","Male","United-States"
40,"Never-married","Not-in-family","White","Female","United-States"
35,"Married-civ-spouse","Other-relative","White","Male","United-States"
24,"Never-married","Not-in-family","White","Male","United-States"
26,"Never-married","Not-in-family","White","Female","United-States"
51,"Married-civ-spouse","Husband","White","Male","United-States"
42,"Never-married","Not-in-family","White","Female","United-States"
37,"Divorced","Unmarried","White","Female","United-States"
18,"Never-married","Own-child","White","Female","United-States"
36,"Married-civ-spouse","Husband","Black","Male","United-States"
35,"Divorced","Not-in-family","White","Male","United-States"
58,"Married-civ-spouse","Wife","White","Female","United-States"
17,"Never-married","Own-child","White","Female","United-States"
44,"Married-civ-spouse","Husband","Black","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
35,"Never-married","Not-in-family","Amer-Indian-Eskimo","Female","United-States"
60,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","United-States"
54,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Never-married","Not-in-family","Black","Male","United-States"
50,"Divorced","Not-in-family","White","Female","United-States"
38,"Married-civ-spouse","Husband","White","Male","Poland"
45,"Married-civ-spouse","Husband","White","Male","United-States"
25,"Never-married","Not-in-family","White","Male","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
90,"Never-married","Not-in-family","Black","Male","United-States"
54,"Married-civ-spouse","Husband","Black","Male","United-States"
53,"Never-married","Not-in-family","White","Female","United-States"
18,"Never-married","Own-child","White","Female","United-States"
66,"Married-civ-spouse","Husband","White","Male","United-States"
75,"Widowed","Not-in-family","White","Female","Columbia"
65,"Divorced","Not-in-family","White","Female","United-States"
35,"Separated","Not-in-family","Black","Male","United-States"
41,"Divorced","Unmarried","Black","Female","United-States"
25,"Never-married","Not-in-family","White","Male","United-States"
33,"Divorced","Other-relative","Other","Female","United-States"
28,"Never-married","Not-in-family","White","Male","United-States"
59,"Married-civ-spouse","Husband","White","Male","United-States"
40,"Never-married","Not-in-family","White","Female","United-States"
41,"Married-civ-spouse","Husband","White","Male","Iran"
38,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Never-married","Own-child","White","Male","United-States"
40,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Married-civ-spouse","Wife","White","Female","United-States"
24,"Married-civ-spouse","Husband","White","Male","United-States"
38,"Divorced","Not-in-family","White","Male","United-States"
58,"Married-civ-spouse","Husband","White","Male","United-States"
32,"Never-married","Not-in-family","White","Female","United-States"
40,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Married-civ-spouse","Wife","White","Female","United-States"
42,"Married-civ-spouse","Wife","Black","Female","United-States"
59,"Widowed","Unmarried","Black","Female","United-States"
19,"Never-married","Own-child","White","Male","United-States"
58,"Never-married","Not-in-family","White","Male","United-States"
42,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","Cambodia"
20,"Never-married","Own-child","White","Female","United-States"
32,"Separated","Not-in-family","White","Female","United-States"
45,"Widowed","Not-in-family","White","Female","United-States"
50,"Divorced","Not-in-family","White","Male","United-States"
36,"Divorced","Own-child","White","Female","United-States"
45,"Married-civ-spouse","Husband","White","Male","United-States"
17,"Never-married","Own-child","White","Male","United-States"
59,"Married-civ-spouse","Husband","White","Male","United-States"
26,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","Thailand"
64,"Married-civ-spouse","Husband","White","Male","United-States"
33,"Never-married","Not-in-family","White","Female","United-States"
33,"Married-civ-spouse","Wife","White","Female","United-States"
61,"Married-civ-spouse","Husband","White","Male","United-States"
17,"Never-married","Own-child","White","Male","United-States"
50,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Never-married","Own-child","White","Male","United-States"
30,"Divorced","Own-child","White","Female","United-States"
43,"Married-civ-spouse","Husband","Black","Male","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
35,"Never-married","Not-in-family","White","Female","United-States"
25,"Never-married","Own-child","White","Female","United-States"
24,"Married-civ-spouse","Wife","White","Female","United-States"
22,"Never-married","Not-in-family","White","Female","Germany"
42,"Married-civ-spouse","Husband","White","Male","United-States"
34,"Divorced","Unmarried","Black","Female","United-States"
60,"Divorced","Not-in-family","White","Female","United-States"
21,"Never-married","Own-child","White","Male","United-States"
57,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Married-civ-spouse","Husband","White","Male","United-States"
50,"Divorced","Not-in-family","White","Male","United-States"
25,"Never-married","Not-in-family","White","Female","United-States"
50,"Married-civ-spouse","Husband","White","Male","Ecuador"
36,"Married-civ-spouse","Husband","White","Male","United-States"
31,"Divorced","Not-in-family","White","Female","United-States"
29,"Never-married","Not-in-family","White","Male","United-States"
21,"Never-married","Own-child","White","Male","United-States"
27,"Never-married","Unmarried","Black","Female","United-States"
65,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Divorced","Not-in-family","White","Female","United-States"
24,"Never-married","Own-child","White","Male","United-States"
38,"Divorced","Not-in-family","White","Male","United-States"
48,"Married-civ-spouse","Husband","White","Male","United-States"
21,"Never-married","Not-in-family","Asian-Pac-Islander","Female","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
55,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Married-civ-spouse","Wife","Asian-Pac-Islander","Female","Laos"
43,"Divorced","Not-in-family","White","Female","United-States"
26,"Never-married","Not-in-family","White","Male","United-States"
46,"Never-married","Not-in-family","White","Female","United-States"
35,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Married-civ-spouse","Husband","White","Male","United-States"
26,"Never-married","Not-in-family","White","Male","United-States"
34,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","Taiwan"
36,"Divorced","Not-in-family","Black","Female","United-States"
22,"Never-married","Own-child","White","Male","United-States"
24,"Never-married","Not-in-family","White","Male","United-States"
77,"Married-civ-spouse","Husband","White","Male","United-States"
22,"Married-civ-spouse","Other-relative","White","Female","Mexico"
29,"Never-married","Not-in-family","White","Female","United-States"
62,"Widowed","Not-in-family","White","Female","United-States"
39,"Married-civ-spouse","Husband","White","Male","United-States"
43,"Married-civ-spouse","Husband","White","Male","United-States"
35,"Divorced","Not-in-family","White","Male","United-States"
29,"Never-married","Not-in-family","White","Female","United-States"
76,"Married-civ-spouse","Husband","White","Male","United-States"
63,"Married-civ-spouse","Husband","White","Male","United-States"
43,"Married-civ-spouse","Wife","White","Female","United-States"
58,"Married-civ-spouse","Husband","White","Male","United-States"
66,"Never-married","Not-in-family","White","Male","United-States"
41,"Never-married","Not-in-family","Black","Male","United-States"
26,"Never-married","Not-in-family","White","Male","United-States"
47,"Never-married","Not-in-family","White","Male","United-States"
55,"Married-civ-spouse","Husband","White","Male","United-States"
53,"Married-civ-spouse","Husband","White","Male","United-States"
17,"Never-married","Other-relative","White","Male","Mexico"
30,"Never-married","Other-relative","White","Male","United-States"
49,"Never-married","Not-in-family","White","Male","United-States"
19,"Never-married","Unmarried","Black","Male","Haiti"
45,"Married-civ-spouse","Husband","Black","Male","United-States"
26,"Never-married","Not-in-family","White","Male","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
36,"Married-civ-spouse","Husband","White","Male","United-States"
33,"Never-married","Not-in-family","White","Male","United-States"
22,"Never-married","Own-child","Black","Female","United-States"
43,"Never-married","Not-in-family","White","Male","United-States"
56,"Married-spouse-absent","Not-in-family","White","Male","Iran"
31,"Never-married","Own-child","White","Male","United-States"
33,"Married-civ-spouse","Husband","White","Male","United-States"
26,"Married-civ-spouse","Husband","White","Male","United-States"
33,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Married-civ-spouse","Husband","White","Male","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
65,"Widowed","Unmarried","Other","Male","United-States"
40,"Married-civ-spouse","Husband","White","Male","United-States"
42,"Married-civ-spouse","Wife","White","Female","United-States"
26,"Married-civ-spouse","Husband","White","Male","Portugal"
36,"Married-civ-spouse","Wife","White","Female","United-States"
62,"Married-civ-spouse","Husband","White","Male","United-States"
43,"Married-civ-spouse","Husband","White","Male","United-States"
43,"Divorced","Not-in-family","White","Male","United-States"
22,"Married-spouse-absent","Not-in-family","White","Male","United-States"
28,"Married-civ-spouse","Husband","White","Male","United-States"
56,"Married-civ-spouse","Husband","White","Male","United-States"
22,"Never-married","Not-in-family","White","Female","United-States"
57,"Divorced","Not-in-family","White","Female","United-States"
39,"Divorced","Unmarried","White","Female","United-States"
26,"Never-married","Unmarried","White","Female","United-States"
17,"Never-married","Own-child","White","Male","United-States"
40,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Married-civ-spouse","Husband","Black","Male","United-States"
44,"Never-married","Not-in-family","Black","Male","United-States"
20,"Never-married","Own-child","White","Female","United-States"
33,"Married-civ-spouse","Wife","White","Female","United-States"
23,"Never-married","Not-in-family","White","Male","United-States"
46,"Divorced","Not-in-family","White","Male","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
54,"Divorced","Not-in-family","White","Male","United-States"
46,"Divorced","Not-in-family","White","Female","United-States"
25,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Divorced","Not-in-family","White","Female","United-States"
36,"Married-civ-spouse","Wife","White","Female","United-States"
23,"Never-married","Not-in-family","White","Female","United-States"
29,"Separated","Not-in-family","White","Male","United-States"
44,"Married-civ-spouse","Wife","White","Female","United-States"
19,"Never-married","Own-child","White","Female","United-States"
19,"Never-married","Other-relative","White","Female","United-States"
35,"Married-civ-spouse","Wife","White","Female","United-States"
27,"Never-married","Not-in-family","White","Male","United-States"
46,"Separated","Not-in-family","White","Male","United-States"
34,"Never-married","Not-in-family","White","Female","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Divorced","Unmarried","White","Female","United-States"
25,"Married-civ-spouse","Husband","White","Male","United-States"
52,"Married-civ-spouse","Husband","White","Male","United-States"
20,"Never-married","Own-child","White","Male","United-States"
28,"Never-married","Not-in-family","White","Female","United-States"
50,"Married-civ-spouse","Husband","White","Male","United-States"
34,"Divorced","Not-in-family","White","Female","United-States"
28,"Married-civ-spouse","Husband","Other","Male","Puerto-Rico"
41,"Married-civ-spouse","Husband","White","Male","United-States"
28,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Married-civ-spouse","Husband","White","Male","United-States"
32,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Divorced","Not-in-family","Black","Female","United-States"
24,"Never-married","Unmarried","Black","Female","United-States"
33,"Divorced","Unmarried","White","Female","United-States"
46,"Married-civ-spouse","Husband","White","Male","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
35,"Divorced","Not-in-family","White","Male","United-States"
52,"Married-civ-spouse","Husband","White","Male","Mexico"
30,"Never-married","Own-child","White","Female","United-States"
34,"Separated","Not-in-family","Black","Male","United-States"
34,"Divorced","Unmarried","White","Female","United-States"
20,"Married-civ-spouse","Husband","White","Male","United-States"
17,"Never-married","Own-child","White","Male","United-States"
32,"Married-civ-spouse","Wife","White","Female","United-States"
29,"Divorced","Not-in-family","White","Male","United-States"
33,"Never-married","Unmarried","White","Female","United-States"
25,"Married-civ-spouse","Husband","White","Male","United-States"
36,"Never-married","Not-in-family","White","Male","United-States"
23,"Never-married","Not-in-family","White","Male","Dominican-Republic"
63,"Married-civ-spouse","Husband","White","Male","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
40,"Married-spouse-absent","Not-in-family","White","Female","United-States"
30,"Married-civ-spouse","Wife","White","Female","United-States"
27,"Never-married","Own-child","Asian-Pac-Islander","Male","Philippines"
33,"Married-civ-spouse","Husband","White","Male","United-States"
34,"Never-married","Not-in-family","Black","Male","United-States"
34,"Never-married","Not-in-family","White","Female","United-States"
23,"Married-civ-spouse","Husband","White","Male","United-States"
42,"Married-civ-spouse","Wife","White","Female","United-States"
29,"Never-married","Not-in-family","White","Male","United-States"
45,"Divorced","Not-in-family","White","Female","United-States"
24,"Never-married","Own-child","White","Male","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Never-married","Other-relative","White","Male","Mexico"
20,"Never-married","Not-in-family","White","Male","United-States"
44,"Widowed","Unmarried","Black","Female","United-States"
51,"Married-civ-spouse","Husband","Amer-Indian-Eskimo","Male","United-States"
20,"Married-civ-spouse","Husband","White","Male","United-States"
19,"Never-married","Own-child","Black","Female","United-States"
45,"Married-civ-spouse","Husband","White","Male","United-States"
60,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Married-civ-spouse","Wife","White","Female","United-States"
40,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","United-States"
30,"Married-civ-spouse","Wife","White","Female","United-States"
38,"Married-civ-spouse","Husband","Black","Male","United-States"
23,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Never-married","Own-child","White","Male","United-States"
54,"Married-civ-spouse","Husband","Black","Male","United-States"
32,"Married-civ-spouse","Husband","White","Male","United-States"
50,"Married-spouse-absent","Unmarried","White","Male","United-States"
24,"Never-married","Not-in-family","White","Female","United-States"
37,"Married-civ-spouse","Wife","White","Female","United-States"
52,"Divorced","Unmarried","White","Male","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
49,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Married-civ-spouse","Wife","White","Female","United-States"
60,"Never-married","Unmarried","White","Male","United-States"
35,"Never-married","Not-in-family","White","Male","United-States"
30,"Never-married","Not-in-family","White","Male","United-States"
67,"Divorced","Not-in-family","White","Female","United-States"
46,"Never-married","Not-in-family","White","Female","United-States"
17,"Never-married","Not-in-family","White","Male","United-States"
22,"Never-married","Own-child","White","Male","United-States"
27,"Never-married","Not-in-family","White","Male","United-States"
23,"Never-married","Unmarried","White","Female","United-States"
33,"Married-civ-spouse","Husband","White","Male","Portugal"
43,"Married-civ-spouse","Husband","White","Male","United-States"
28,"Never-married","Not-in-family","White","Male","United-States"
41,"Married-spouse-absent","Unmarried","White","Female","United-States"
25,"Married-spouse-absent","Own-child","Black","Female","United-States"
59,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Divorced","Unmarried","White","Female","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
40,"Never-married","Not-in-family","White","Female","United-States"
46,"Divorced","Not-in-family","White","Male","United-States"
35,"Never-married","Not-in-family","White","Female","United-States"
34,"Divorced","Unmarried","White","Female","United-States"
33,"Never-married","Own-child","White","Male","United-States"
41,"Divorced","Unmarried","White","Female","United-States"
20,"Never-married","Own-child","White","Male","United-States"
23,"Never-married","Own-child","White","Male","El-Salvador"
26,"Never-married","Not-in-family","White","Female","United-States"
23,"Never-married","Not-in-family","White","Male","Poland"
62,"Married-civ-spouse","Husband","White","Male","United-States"
52,"Married-civ-spouse","Husband","White","Male","United-States"
58,"Divorced","Unmarried","White","Female","France"
25,"Never-married","Not-in-family","White","Female","United-States"
24,"Never-married","Not-in-family","Black","Male","United-States"
19,"Never-married","Own-child","White","Male","United-States"
43,"Married-civ-spouse","Husband","White","Male","United-States"
47,"Separated","Unmarried","Black","Female","United-States"
39,"Divorced","Unmarried","White","Female","United-States"
49,"Married-spouse-absent","Unmarried","White","Male","United-States"
32,"Never-married","Not-in-family","White","Male","United-States"
34,"Married-civ-spouse","Husband","White","Male","United-States"
28,"Divorced","Not-in-family","White","Male","United-States"
25,"Never-married","Not-in-family","Amer-Indian-Eskimo","Female","United-States"
34,"Married-civ-spouse","Husband","White","Male","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
50,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Divorced","Not-in-family","Black","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Divorced","Unmarried","White","Male","United-States"
28,"Married-civ-spouse","Wife","White","Female","United-States"
42,"Married-civ-spouse","Husband","White","Male","United-States"
74,"Divorced","Not-in-family","White","Female","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Divorced","Unmarried","Other","Female","Puerto-Rico"
26,"Never-married","Not-in-family","White","Male","United-States"
36,"Married-civ-spouse","Husband","Black","Male","United-States"
41,"Married-civ-spouse","Wife","White","Female","United-States"
67,"Married-civ-spouse","Husband","White","Male","United-States"
39,"Married-civ-spouse","Husband","White","Male","United-States"
57,"Widowed","Not-in-family","Black","Female","United-States"
29,"Separated","Not-in-family","White","Male","United-States"
31,"Never-married","Not-in-family","White","Female","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Never-married","Own-child","White","Male","United-States"
30,"Never-married","Unmarried","White","Female","United-States"
27,"Never-married","Not-in-family","White","Male","United-States"
27,"Married-civ-spouse","Husband","White","Male","United-States"
32,"Never-married","Not-in-family","White","Female","United-States"
58,"Married-civ-spouse","Wife","White","Female","United-States"
35,"Married-civ-spouse","Husband","White","Male","United-States"
21,"Never-married","Own-child","White","Male","United-States"
28,"Never-married","Unmarried","White","Male","United-States"
46,"Divorced","Not-in-family","White","Male","United-States"
36,"Separated","Unmarried","White","Female","United-States"
72,"Widowed","Unmarried","White","Female","United-States"
35,"Married-civ-spouse","Wife","Black","Female","United-States"
33,"Divorced","Unmarried","Black","Female","United-States"
69,"Never-married","Not-in-family","White","Female","United-States"
35,"Married-civ-spouse","Husband","White","Male","United-States"
34,"Married-civ-spouse","Wife","White","Female","United-States"
30,"Married-civ-spouse","Husband","White","Male","Mexico"
28,"Never-married","Not-in-family","White","Male","United-States"
54,"Married-civ-spouse","Husband","White","Male","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Unmarried","Black","Female","United-States"
52,"Married-civ-spouse","Husband","White","Male","United-States"
20,"Never-married","Own-child","Amer-Indian-Eskimo","Male","United-States"
43,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Separated","Unmarried","White","Female","Mexico"
29,"Separated","Not-in-family","White","Male","United-States"
47,"Divorced","Unmarried","White","Male","United-States"
24,"Never-married","Own-child","White","Male","United-States"
51,"Married-civ-spouse","Husband","White","Male","United-States"
17,"Never-married","Own-child","White","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Never-married","Not-in-family","White","Female","United-States"
29,"Married-civ-spouse","Wife","White","Male","United-States"
36,"Divorced","Unmarried","White","Female","United-States"
58,"Never-married","Not-in-family","White","Female","United-States"
