"income","workclass","occupation","capital-gain","capital-loss","hours-per-week"
"<=50K","Private","Craft-repair",0,1741,40
">50K","Private","Adm-clerical",0,0,45
"<=50K","Private","Other-service",0,0,34
">50K","Private","Tech-support",0,1977,60
">50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Local-gov","Other-service",0,0,30
"<=50K","Local-gov","Adm-clerical",0,0,40
"<=50K","Private","Transport-moving",0,0,20
">50K","Self-emp-not-inc","Farming-fishing",0,0,40
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Other-service",0,0,30
"<=50K","Private","Exec-managerial",0,0,45
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Sales",0,0,60
"<=50K","Private","Other-service",0,0,12
"<=50K","Private","Sales",4064,0,40
"<=50K","Private","Craft-repair",0,0,40
">50K","Self-emp-inc","Exec-managerial",0,0,75
">50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Prof-specialty",0,0,45
">50K","Private","Craft-repair",0,0,40
">50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Other-service",1055,0,24
"<=50K","Self-emp-not-inc","Farming-fishing",2407,0,98
"<=50K","Local-gov","Prof-specialty",0,0,35
"<=50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,40
">50K","Private","Craft-repair",7298,0,40
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Tech-support",0,0,40
">50K","Private","Machine-op-inspct",7298,0,48
"<=50K","Private","Prof-specialty",0,0,15
">50K","Local-gov","Craft-repair",5178,0,40
"<=50K","Private","Sales",0,0,45
"<=50K","Private","Prof-specialty",0,0,42
"<=50K","Private","Handlers-cleaners",0,0,40
">50K","Federal-gov","Sales",15024,0,40
">50K","Private","Prof-specialty",0,0,60
"<=50K","Private","Other-service",0,0,45
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Prof-specialty",0,0,45
"<=50K","Private","Prof-specialty",0,0,40
"<=50K","Local-gov","Protective-serv",0,0,56
"<=50K","Private","Sales",0,0,45
"<=50K","Private","Tech-support",0,0,40
"<=50K","Private","Transport-moving",0,0,16
"<=50K","Self-emp-inc","Sales",0,0,60
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Sales",0,0,80
">50K","Private","Adm-clerical",7688,0,40
"<=50K","Private","Other-service",0,0,25
">50K","Private","Transport-moving",0,0,45
">50K","Private","Sales",4386,0,40
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Tech-support",0,0,45
"<=50K","Private","Prof-specialty",0,0,33
">50K","Private","Adm-clerical",0,0,40
">50K","Self-emp-inc","Farming-fishing",0,0,54
"<=50K","Private","Sales",0,0,40
">50K","Private","Exec-managerial",7298,0,35
">50K","Self-emp-not-inc","Prof-specialty",0,0,40
"<=50K","Private","Sales",0,0,15
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Self-emp-not-inc","Sales",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Tech-support",0,0,40
"<=50K","Private","Other-service",0,0,24
"<=50K","Self-emp-not-inc","Exec-managerial",0,0,40
"<=50K","Private","Craft-repair",0,1485,50
"<=50K","Private","Transport-moving",0,0,45
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","Self-emp-not-inc","Craft-repair",0,0,10
"<=50K","Self-emp-not-inc","Farming-fishing",0,0,45
">50K","Private","Prof-specialty",0,1887,50
"<=50K","Self-emp-not-inc","Handlers-cleaners",0,0,40
"<=50K","Private","Transport-moving",2050,0,55
"<=50K","Private","Craft-repair",0,0,45
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Other-service",0,0,40
"<=50K","Local-gov","Adm-clerical",0,0,40
"<=50K","Private","Transport-moving",0,0,40
"<=50K","Private","Other-service",0,0,48
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Prof-specialty",0,0,60
"<=50K","Private","Sales",0,0,30
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Sales",0,0,40
">50K","Private","Craft-repair",7298,0,40
">50K","State-gov","Protective-serv",7298,0,40
"<=50K","Private","Farming-fishing",0,0,20
"<=50K","State-gov","Protective-serv",0,0,40
"<=50K","Self-emp-not-inc","Sales",0,0,42
"<=50K","Private","Other-service",0,0,25
"<=50K","Private","Prof-specialty",0,0,25
">50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Other-service",0,0,40
">50K","Private","Exec-managerial",0,0,40
"<=50K","Local-gov","Transport-moving",0,0,30
">50K","Federal-gov","Adm-clerical",0,0,40
"<=50K","Private","Other-service",0,0,40
">50K","Private","Tech-support",0,0,40
"<=50K","Private","Adm-clerical",0,0,35
"<=50K","Self-emp-not-inc","Craft-repair",0,0,40
"<=50K","Private","Other-service",0,0,24
">50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Transport-moving",0,0,45
">50K","Private","Exec-managerial",0,1564,45
"<=50K","Private","Sales",0,0,55
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Self-emp-not-inc","Sales",0,0,45
"<=50K","Private","Sales",0,0,15
">50K","Private","Exec-managerial",0,0,45
"<=50K","Private","Sales",0,0,40
"<=50K","Federal-gov","Adm-clerical",0,0,15
"<=50K","Private","Other-service",0,0,10
">50K","State-gov","Machine-op-inspct",0,0,38
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Local-gov","Adm-clerical",0,0,10
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Sales",0,0,40
"<=50K","Self-emp-not-inc","Exec-managerial",0,0,30
"<=50K","Private","Sales",0,0,50
"<=50K","Private","Transport-moving",0,0,40
"<=50K","Private","Craft-repair",0,2339,45
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Sales",0,0,40
"<=50K","Local-gov","Transport-moving",0,0,40
"<=50K","Private","Other-service",0,0,25
"<=50K","Private","Machine-op-inspct",0,0,40
">50K","Private","Adm-clerical",0,2415,6
"<=50K","Private","Adm-clerical",0,0,16
"<=50K","Private","Other-service",0,0,40
">50K","Private","Other-service",0,0,40
"<=50K","Private","Craft-repair",0,0,50
"<=50K","Self-emp-not-inc","Craft-repair",0,0,40
"<=50K","Private","Other-service",0,0,35
"<=50K","Private","Tech-support",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,40
">50K","Private","Exec-managerial",0,0,55
">50K","Self-emp-inc","Exec-managerial",0,0,50
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Private","Other-service",0,0,40
">50K","State-gov","Protective-serv",0,0,40
"<=50K","Private","Tech-support",0,0,64
"<=50K","Private","Handlers-cleaners",0,2179,40
">50K","Private","Exec-managerial",0,1977,65
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Self-emp-not-inc","Craft-repair",0,0,25
"<=50K","Private","Exec-managerial",0,0,50
"<=50K","Local-gov","Other-service",0,0,24
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Private","Exec-managerial",0,0,40
">50K","Private","Exec-managerial",15024,0,60
"<=50K","State-gov","Machine-op-inspct",0,0,40
">50K","Private","Craft-repair",0,0,50
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Other-service",0,0,19
"<=50K","Local-gov","Machine-op-inspct",0,0,40
"<=50K","State-gov","Transport-moving",0,0,40
"<=50K","Private","Sales",0,0,30
"<=50K","Private","Handlers-cleaners",2176,0,18
">50K","State-gov","Exec-managerial",0,0,40
"<=50K","Private","Farming-fishing",0,0,40
"<=50K","Private","Craft-repair",0,0,35
"<=50K","Private","Transport-moving",0,0,60
"<=50K","Federal-gov","Prof-specialty",0,1408,40
"<=50K","Private","Handlers-cleaners",0,0,72
">50K","Self-emp-inc","Exec-managerial",0,0,40
"<=50K","Local-gov","Prof-specialty",0,0,40
"<=50K","Self-emp-not-inc","Prof-specialty",2174,0,40
">50K","Private","Other-service",0,0,25
"<=50K","Private","Craft-repair",0,1980,40
">50K","Private","Prof-specialty",0,0,50
"<=50K","Local-gov","Farming-fishing",594,0,60
"<=50K","Local-gov","Protective-serv",0,0,40
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Local-gov","Adm-clerical",0,0,40
"<=50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Adm-clerical",0,0,28
"<=50K","Federal-gov","Armed-Forces",0,0,40
">50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Sales",0,0,35
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,40
">50K","Self-emp-inc","Craft-repair",0,0,55
">50K","Private","Craft-repair",0,0,40
">50K","Self-emp-not-inc","Sales",0,0,40
">50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Transport-moving",0,0,50
"<=50K","Private","Transport-moving",0,0,60
"<=50K","Private","Farming-fishing",0,0,40
"<=50K","Local-gov","Transport-moving",0,0,40
"<=50K","Private","Prof-specialty",0,0,50
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Tech-support",0,0,20
"<=50K","Private","Adm-clerical",0,0,60
"<=50K","Private","Transport-moving",0,0,40
"<=50K","Private","Transport-moving",0,0,40
">50K","Private","Exec-managerial",0,1977,45
">50K","Private","Tech-support",0,0,16
">50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Transport-moving",0,0,60
"<=50K","Private","Other-service",0,0,24
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Other-service",0,0,6
"<=50K","Private","Handlers-cleaners",0,0,30
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Other-service",0,0,35
"<=50K","Private","Craft-repair",0,0,45
"<=50K","Self-emp-not-inc","Craft-repair",0,0,20
"<=50K","State-gov","Prof-specialty",0,0,20
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Adm-clerical",0,0,20
"<=50K","Local-gov","Transport-moving",0,0,45
"<=50K","Local-gov","Prof-specialty",0,0,40
">50K","Private","Sales",15024,0,60
"<=50K","Private","Other-service",0,0,35
"<=50K","Federal-gov","Adm-clerical",0,0,40
"<=50K","Private","Exec-managerial",0,0,60
"<=50K","Private","Prof-specialty",0,0,25
"<=50K","Private","Craft-repair",0,0,20
"<=50K","Private","Adm-clerical",0,0,36
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Prof-specialty",0,0,35
"<=50K","Local-gov","Farming-fishing",0,0,40
"<=50K","Local-gov","Transport-moving",0,0,40
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Other-service",0,0,42
"<=50K","Private","Sales",0,0,40
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Protective-serv",0,0,8
"<=50K","Private","Exec-managerial",0,0,40
"<=50K","Local-gov","Adm-clerical",0,0,40
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Handlers-cleaners",0,1380,42
"<=50K","Private","Craft-repair",0,0,45
">50K","Private","Prof-specialty",0,0,50
"<=50K","Private","Craft-repair",0,0,45
"<=50K","Private","Adm-clerical",0,0,20
">50K","Private","Prof-specialty",0,0,50
">50K","Self-emp-inc","Exec-managerial",15024,0,80
">50K","Private","Exec-managerial",7688,0,50
"<=50K","Local-gov","Handlers-cleaners",0,0,50
">50K","Local-gov","Tech-support",0,0,45
">50K","Private","Machine-op-inspct",0,0,58
"<=50K","Private","Sales",0,0,40
">50K","Private","Exec-managerial",0,0,40
"<=50K","Private","Adm-clerical",0,0,9
"<=50K","Self-emp-not-inc","Craft-repair",0,0,50
"<=50K","Self-emp-not-inc","Prof-specialty",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,46
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Other-service",0,0,40
">50K","Private","Exec-managerial",0,0,50
">50K","Private","Prof-specialty",20051,0,48
"<=50K","Local-gov","Tech-support",0,0,50
"<=50K","Private","Priv-house-serv",0,0,30
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Self-emp-inc","Farming-fishing",0,0,45
"<=50K","Private","Transport-moving",0,0,40
"<=50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Private","Transport-moving",0,0,40
"<=50K","Private","Sales",0,0,50
"<=50K","Private","Handlers-cleaners",0,0,45
"<=50K","Private","Other-service",0,0,8
"<=50K","Local-gov","Protective-serv",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,36
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Self-emp-not-inc","Exec-managerial",0,0,50
"<=50K","Self-emp-not-inc","Other-service",0,0,40
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,40
">50K","Federal-gov","Craft-repair",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Private","Tech-support",0,0,32
"<=50K","Private","Other-service",0,0,40
"<=50K","Private","Transport-moving",0,0,55
">50K","Private","Sales",0,0,35
">50K","Private","Prof-specialty",0,0,50
"<=50K","Private","Handlers-cleaners",0,0,40
">50K","Self-emp-not-inc","Prof-specialty",0,0,60
"<=50K","Private","Handlers-cleaners",0,0,48
"<=50K","Self-emp-inc","Exec-managerial",5013,0,45
"<=50K","Private","Other-service",0,0,40
"<=50K","Self-emp-not-inc","Craft-repair",0,0,35
"<=50K","Private","Exec-managerial",0,0,42
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Prof-specialty",0,0,40
"<=50K","Private","Sales",0,0,12
">50K","Private","Craft-repair",0,1977,40
"<=50K","Private","Prof-specialty",0,0,70
">50K","Private","Exec-managerial",0,0,40
"<=50K","Self-emp-not-inc","Sales",0,0,35
"<=50K","Local-gov","Prof-specialty",0,0,40
"<=50K","Self-emp-not-inc","Craft-repair",0,0,45
">50K","Private","Sales",0,0,40
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Machine-op-inspct",0,0,40
"<=50K","Self-emp-not-inc","Tech-support",0,0,40
"<=50K","Private","Sales",0,0,24
"<=50K","Private","Adm-clerical",0,0,60
"<=50K","Private","Other-service",0,0,40
">50K","Private","Craft-repair",0,1887,47
"<=50K","Self-emp-inc","Prof-specialty",0,0,80
">50K","Private","Transport-moving",0,0,48
">50K","Private","Prof-specialty",7688,0,40
"<=50K","Private","Adm-clerical",0,0,40
"<=50K","Private","Sales",0,0,40
">50K","Self-emp-not-inc","Prof-specialty",0,1902,50
"<=50K","Private","Tech-support",2174,0,40
"<=50K","Private","Prof-specialty",0,0,45
"<=50K","Private","Tech-support",0,0,40
"<=50K","Private","Adm-clerical",0,0,28
"<=50K","Private","Other-service",0,0,40
"<=50K","Local-gov","Other-service",0,0,40
"<=50K","Self-emp-not-inc","Farming-fishing",0,0,40
"<=50K","Private","Adm-clerical",0,0,37
">50K","Private","Craft-repair",0,0,40
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Local-gov","Exec-managerial",0,0,40
"<=50K","Private","Other-service",0,0,21
"<=50K","Private","Prof-specialty",6849,0,60
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,50
"<=50K","Local-gov","Prof-specialty",1055,0,40
"<=50K","Private","Other-service",0,0,20
"<=50K","Private","Handlers-cleaners",0,0,60
"<=50K","Private","Transport-moving",0,0,45
"<=50K","Self-emp-not-inc","Exec-managerial",0,0,32
"<=50K","Self-emp-inc","Sales",0,0,55
">50K","Private","Prof-specialty",15024,0,45
"<=50K","Private","Sales",0,0,20
"<=50K","Private","Other-service",0,0,20
"<=50K","Private","Priv-house-serv",0,0,24
"<=50K","Private","Transport-moving",0,0,55
"<=50K","Private","Handlers-cleaners",0,0,40
"<=50K","Private","Farming-fishing",0,0,60
">50K","Private","Sales",0,0,45
"<=50K","Self-emp-not-inc","Sales",0,0,64
">50K","Private","Exec-managerial",0,0,40
">50K","Private","Sales",0,0,26
"<=50K","Self-emp-not-inc","Other-service",0,0,40
"<=50K","Local-gov","Other-service",0,0,40
">50K","Private","Craft-repair",15024,0,60
">50K","Private","Adm-clerical",0,0,40
"<=50K","Self-emp-not-inc","Craft-repair",0,0,60
"<=50K","Private","Other-service",0,0,14
"<=50K","Private","Handlers-cleaners",0,0,40
">50K","Private","Exec-managerial",15024,0,60
"<=50K","Self-emp-inc","Transport-moving",0,0,50
">50K","Self-emp-not-inc","Prof-specialty",0,0,60
"<=50K","Private","Craft-repair",0,0,55
"<=50K","Private","Craft-repair",0,0,40
"<=50K","Private","Handlers-cleaners",0,0,40
">50K","Private","Sales",5178,0,50
"<=50K","Private","Craft-repair",0,0,45
">50K","Self-emp-inc","Prof-specialty",0,0,40
"<=50K","Local-gov","Adm-clerical",0,0,40
"<=50K","Private","Craft-repair",0,0,15
">50K","State-gov","Tech-support",0,0,40
"<=50K","Private","Other-service",0,0,20
"<=50K","Private","Exec-managerial",4101,0,50
">50K","Private","Prof-specialty",0,0,40
"<=50K","State-gov","Exec-managerial",0,0,45
"<=50K","Private","Machine-op-inspct",0,0,32
"<=50K","State-gov","Adm-clerical",0,0,40
